seed,modality,fold,label,target,n,pearson,spearman
44,emg,1,1,abs_gap,13,0.9514458718353773,0.23076923076923078
44,emg,2,-1,loss,17,0.7522483997907637,-0.05147058823529412
44,emg,2,-1,offset,17,0.9723356232701965,0.982843137254902
44,emg,2,-1,abs_gap,17,0.9299531741964293,0.7892156862745099
44,emg,2,0,loss,5,0.988554351266854,0.8999999999999998
44,emg,2,0,offset,5,0.991581046935563,0.9999999999999999
44,emg,2,0,abs_gap,5,0.9882594762070993,0.8999999999999998
44,emg,2,1,loss,12,-0.4611178218442161,-0.8391608391608393
44,emg,2,1,offset,12,0.9959533321927595,0.9510489510489512
44,emg,2,1,abs_gap,12,0.7340330264161344,0.7062937062937064
44,emg,3,-1,loss,17,-0.10149302417674136,-0.4607843137254902
44,emg,3,-1,offset,17,0.9894628178624323,0.9803921568627453
44,emg,3,-1,abs_gap,17,0.8816319503182468,0.9779411764705883
44,emg,3,0,loss,5,0.995122391684824,0.9999999999999999
44,emg,3,0,offset,5,0.9974258844545502,0.9999999999999999
44,emg,3,0,abs_gap,5,0.9907129451206317,0.9999999999999999
44,emg,3,1,loss,12,-0.8976778577093516,-0.9930069930069931
44,emg,3,1,offset,12,0.9896564200529908,0.9930069930069931
44,emg,3,1,abs_gap,12,0.8827460418330643,0.9720279720279721
44,emg,4,-1,loss,17,0.06119832674712675,0.21813725490196081
44,emg,4,-1,offset,17,0.903776748884187,0.8799019607843139
44,emg,4,-1,abs_gap,17,0.8777580360639433,0.26715686274509803
44,emg,4,0,loss,5,0.6691874264824061,0.6
44,emg,4,0,offset,5,0.8932229176487501,0.7999999999999999
44,emg,4,0,abs_gap,5,0.6819602479200848,0.6
44,emg,4,1,loss,12,-0.4675961870052481,-0.013986013986013986
44,emg,4,1,offset,12,0.9300099343317655,0.965034965034965
44,emg,4,1,abs_gap,12,0.9239444231411191,-0.02097902097902098
44,table,-1,-1,loss,85,-0.10977776206009146,-0.8333398475669338
44,table,-1,-1,offset,85,0.6985108413666729,0.646296658198163
44,table,-1,-1,abs_gap,85,0.9799059164925279,0.9836818448309558
44,table,-1,0,loss,23,0.3325498851540404,-0.6146245059288538
44,table,-1,0,offset,23,0.1610668105628562,-0.26778656126482214
44,table,-1,0,abs_gap,23,0.9700026430630588,0.9733201581027668
44,table,-1,1,loss,62,-0.28120804447806613,-0.9147339528090452
44,table,-1,1,offset,62,0.8220304532880773,0.822416962554456
44,table,-1,1,abs_gap,62,0.98770852548222,0.9864017526629902
44,table,0,-1,loss,17,-0.09865463252089991,-0.7500000000000001
44,table,0,-1,offset,17,0.4992512256656101,0.661764705882353
44,table,0,-1,abs_gap,17,0.9785258780829611,0.931372549019608
44,table,0,0,loss,4,0.09296658778422212,-0.39999999999999997
44,table,0,0,offset,4,-0.6438454090627788,-0.7999999999999999
44,table,0,0,abs_gap,4,0.9849193461181394,1.0
44,table,0,1,loss,13,-0.09744340401089653,-0.8681318681318682
44,table,0,1,offset,13,0.6542531851507389,0.8241758241758241
44,table,0,1,abs_gap,13,0.9875275077507601,0.9285714285714285
44,table,1,-1,loss,17,-0.5227840326556797,-0.8848039215686275
44,table,1,-1,offset,17,0.851686365684807,0.7916666666666667
44,table,1,-1,abs_gap,17,0.9915668690044758,0.9950980392156863
44,table,1,0,loss,4,-0.4372675494962502,-0.7999999999999999
44,table,1,0,offset,4,-0.7192365981687148,-0.7999999999999999
44,table,1,0,abs_gap,4,0.9910459578372436,1.0
44,table,1,1,loss,13,-0.5891248993090868,-0.9065934065934067
44,table,1,1,offset,13,0.9553165586868881,0.9230769230769231
44,table,1,1,abs_gap,13,0.9952444115254013,1.0
44,table,2,-1,loss,17,0.00972429129993551,-0.6519607843137255
44,table,2,-1,offset,17,0.6563938409515541,0.8186274509803922
44,table,2,-1,abs_gap,17,0.9686124047448623,0.8799019607843139
44,table,2,0,loss,5,0.5104890672712563,0.0
44,table,2,0,offset,5,0.4497150428399731,0.3
44,table,2,0,abs_gap,5,0.9615736761856853,0.8999999999999998
44,table,2,1,loss,12,-0.7676458309553985,-0.965034965034965
44,table,2,1,offset,12,0.8349667989107696,0.8391608391608393
